,harvest,region,mills,trib,middle,reservoir,lower,delta,location,Sum,Rich,RichF,SimpF,DivF,id,k,Depth,site,CATEGORY,year,season,date,width,CC,Fines,D50,Temp,Cond,P,n,po4,SiO4,No3,no2,nh4,no2no3,Chla,omRock,imRock,OM,imSeston,BI,SH,site,lat,long,rkm,Elev,Et,k20,GPP,ER,Rp,Rb,G,NEP,MinT,MaxT,MeanT,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,DivM,SimpsonM,Fine,Gravel,Cobble,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6
sa.21,1,Delta,Other,Other,Other,Other,Other,Delta,17,544,10,153.3333186,3.480455589,6.611876565,Elwha8,0.009289,42,EP7-092816,DE,2016,Fall,92816,NA,0,4,0.4,11.6,0.296,NA,NA,10.33,NA,NA,NA,122.26,39.78,0.0002,NA,NA,0.0016,0.0038,NA,NA,EP7-092816,48.1501,-123.5592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1.083,0.5186,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.22,1,Delta,Other,Other,Other,Other,Other,Delta,18,50,8,73.06175374,1.298031762,1.817371288,Elwha12,0.00631,40,EP3-092816,DE,2016,Fall,92816,NA,0,63,0.01,12.5,1.109,NA,NA,8.9,NA,NA,NA,69.49,17.02,0.001,NA,NA,0.0017,0.0017,NA,NA,EP3-092816,48.1506,-123.5594,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749,1.558,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.23,1,Delta,Other,Other,Other,Other,Other,Delta,19,371,4,100.7237039,1.882063691,2.888093418,Elwha9,0.009767,45,ES1-100216,DE,2016,Fall,100216,NA,0,36,0.09,12.5,0.495,NA,NA,5.65,NA,NA,NA,19.85,8.84,0.001,NA,NA,0.0021,0.0007,NA,NA,ES1-100216,48.1472,-123.5635,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.645,0.3811,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.24,1,Delta,Other,Other,Other,Other,Other,Delta,20,147,4,84.84516903,2.256627757,4.056386368,Elwha10,0.011725,35,EP1-092816,DE,2016,Fall,92816,NA,0,14,0.24,13.5,1.388,NA,NA,12.21,NA,NA,NA,51.73,12.56,0.001,NA,NA,0.0015,0.0023,NA,NA,EP1-092816,48.1492,-123.5651,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.755,0.3862,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa.25,3,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,21,NA,NA,115.9988939,1.159027537,1.458019267,Elwha36,NA,NA,EUMSWB,MR,2017,Summer,80917,55,6,10,81,12.9,94.4,11.23,112.29,9.41,2311.49,2.39,0.28,98.05,NA,0.47,0.2,0.52,0.9,0.7,1841.1,0.0596,EUMSWB,47.9745,-123.594,24.6,182,0.47,0.59,535.9,1572.5,289.5,1288.4,1038.3,-1036.6,11.681,14.321,12.97821,0.341607258,1,1.25,1.2,3.57,1.61,5.515,12.729,30.095,49.177,101.1,0,207.5876073,0.001645605,0.004817243,0.006021554,0.005780692,0.017197558,0.007755762,0.026567097,0.061318689,0.144974936,0.236897571,0.487023293,NA,NA,NA,0.018265094,0.257814042,0.723920864,NA,NA,NA,NA,NA,NA
sa.26,3,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,22,NA,NA,53.49977998,1.146936866,1.47256026,Elwha37,NA,NA,EUMSBC,MR,2017,Summer,80917,16.3,0,9,71,14.9,90.6,10.6,147.43,5.42,2103.8,2.33,0.29,26.23,NA,0.34,0.13,0.35,0.9,0.3,338.4,0.052,EUMSBC,47.9848,-123.601,23.1,181,0.18,1.13,3027,8959.1,756.7,8187.9,5916.7,-5932,11.987,14.506,13.17698,0.058733277,0.275,0.825,0.83,3.08,1.62,5.05,14.172,25.032,16.252,189.6,0,256.7947333,0.000228717,0.001070894,0.003212683,0.003232154,0.011994015,0.006308541,0.019665512,0.055188048,0.097478635,0.063287902,0.7383329,NA,NA,NA,0.007744447,0.190634751,0.801620802,NA,NA,NA,NA,NA,NA
sa.27,3,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,23,NA,NA,60.74941228,2.036479322,3.802516989,Elwha38,NA,NA,EUMSWA,MR,2017,Summer,80917,49.1,17,5,130,13,90.6,12.23,143.22,7.63,2042.2,4.42,0.17,74.1,NA,0.91,0.3,2.47,0.6,0.5,820.5,0.0896,EUMSWA,47.9921,-123.604,22.2,181,1.04,0.16,644,1496.4,378.3,1120.6,846.4,-852.3,11.922,14.798,13.2247,0.473026004,1.65,2.1,1.555,5.97,2.3,5.72,14.407,42.038,113.863,35.4,0,225.476026,0.002097899,0.007317851,0.009313629,0.00689652,0.026477316,0.010200641,0.025368551,0.063895928,0.186441107,0.504989386,0.15700117,NA,NA,NA,0.0256259,0.312383544,0.661990557,NA,NA,NA,NA,NA,NA
sa.28,3,Mills Reservoir,Mills Reservoir,Other,Other,Other,Other,Other,24,NA,NA,40.33327654,1.048694857,1.200645157,Elwha39,NA,NA,EUMSSC,MR,2017,Summer,80917,33.3,2,2,90,14.4,97.6,12.66,140.23,4.22,2136.98,3.77,0.2,12.97,NA,0.74,0.16,0.62,0.7,1.9,989.5,0.0802,EUMSSC,47.9988,-123.604,21.3,181,0.32,0.5,1364.5,1965.7,0,1954.4,1289.4,-601.2,11.849,15.007,13.25978,0.20950056,0.77,0.94,0.743,2.275,1.275,4.865,11.839,24.433,98.795,0,0,146.1445006,0.001433517,0.005268758,0.00643199,0.005084009,0.015566785,0.008724242,0.033288971,0.081008864,0.167183848,0.676009016,0,NA,NA,NA,0.018218274,0.30577271,0.676009016,NA,NA,NA,NA,NA,NA
sa.29,3,Tributary,Other,Tributary,Other,Other,Other,Other,1,65,11,26.89997673,1.258553278,1.751281755,Elwha44,0.015385,32,EMTRGC,TR,2017,Summer,80917,4.6,95,9,44,13.3,145.5,24.23,124.91,5.04,4502.05,11.76,0.51,19.97,27.2,0.45,0.06,0.08,4.8,4.8,1704,0.007,EMTRGC,48.0159,-123.5897,19.2,113,0,0.66,277.9,4280.8,87.2,4194.7,4018.6,-4002.9,10.48,14.057,12.23568,0.071446462,0.585,1.405,1.045,2.705,1.02,3.995,12.486,9.121,159.45,95.6,0,287.4834465,0.000248524,0.0020349,0.004887238,0.003634992,0.009409237,0.00354803,0.013896452,0.043432066,0.031727044,0.55464063,0.332540886,0.772,1.851,0.7863,0.010805653,0.10201283,0.887181516,-0.574480752,-3.695901438,3.115781332,-0.138049932,1.43090458,-2.115057572
sa.30,3,Tributary,Other,Tributary,Other,Other,Other,Other,2,82,10,37.9984769,6.472202086,9.349005381,Elwha45,0.01298,20,EMTRMC,TR,2017,Summer,80817,3.3,89,14,42,13.7,177.6,22.68,151.22,9.64,6985.1,11.48,0.23,9.1,17.4,2.3,0.31,0.3,0.4,0.2,857.6,0.1045,EMTRMC,48.045,-123.5905,15.1,74,0.37,0.05,498.4,2539.5,336,2205.6,2045.4,-2041.1,12.394,15.141,13.64899,0.0390218,0.01,0.025,0.045,1.465,0.94,5.65,15.783,6.631,0,0,0,30.5880218,0.001275722,0.000326925,0.000817313,0.001471164,0.047894565,0.030730984,0.184712828,0.515986294,0.216784205,0,0,0.734,1.69,0.7308,0.003891124,0.996108876,0,6.183004858,1.254450971,-1.812249329,3.396870005,-0.780277593,0.646421031
